LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1733303861.417000,326109.750,51113,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303861.467250,326160.000,51113,4,EM,1,100,PS
1733303861.517500,326210.250,51147,4,EM,1,100,RS
1733303861.567750,326260.500,51147,4,EM,1,100,RB
1733303861.618000,326310.750,51147,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303861.668250,326361.000,51147,4,EM,1,100,PS
1733303861.718500,326411.250,51183,4,EM,1,100,RS
1733303861.768750,326461.500,51183,4,EM,1,100,RB
1733303861.819001,326511.750,51183,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303861.869251,326562.000,51183,4,EM,1,100,PS
1733303861.919501,326612.250,51214,4,EM,1,100,RS
1733303861.969751,326662.500,51214,4,EM,1,100,RB
1733303862.020001,326712.750,51214,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303862.070251,326763.000,51214,4,EM,1,100,PS
1733303862.120502,326813.250,51248,4,EM,1,100,RS
1733303862.170752,326863.500,51248,4,EM,1,100,RB
1733303862.221002,326913.750,51248,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303862.271252,326964.000,51248,4,EM,1,100,PS
1733303862.321502,327014.250,51279,4,EM,1,100,RS
1733303862.371752,327064.500,51279,4,EM,1,100,RB
1733303862.422003,327114.750,51279,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303862.472253,327165.000,51279,4,EM,1,100,PS
1733303862.522503,327215.250,51315,4,EM,1,100,RS
1733303862.572753,327265.500,51315,4,EM,1,100,RB
1733303862.623003,327315.750,51315,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303862.673253,327366.000,51315,4,EM,1,100,PS
1733303862.723503,327416.250,51347,4,EM,1,100,RS
1733303862.773753,327466.500,51347,4,EM,1,100,RB
1733303862.824004,327516.750,51347,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303862.874254,327567.000,51347,4,EM,1,100,PS
1733303862.924504,327617.250,51380,4,EM,1,100,RS
1733303862.974754,327667.500,51380,4,EM,1,100,RB
1733303863.025004,327717.750,51380,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303863.075254,327768.000,51380,4,EM,1,100,PS
1733303863.126255,327819.000,51412,4,EM,1,100,RS
1733303863.177255,327870.000,51412,4,EM,1,100,RB
1733303863.228255,327921.000,51412,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303863.279255,327972.000,51412,4,EM,1,100,PS
1733303863.329505,328022.250,51445,4,EM,1,100,RS
1733303863.379755,328072.500,51445,4,EM,1,100,RB
1733303863.430005,328122.750,51445,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303863.480256,328173.000,51445,4,EM,1,100,PS
1733303863.530506,328223.250,51479,4,EM,1,100,RS
1733303863.580756,328273.500,51479,4,EM,1,100,RB
1733303863.631006,328323.750,51479,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303863.681256,328374.000,51479,4,EM,1,100,PS
1733303863.731506,328424.250,51513,4,EM,1,100,RS
1733303863.781756,328474.500,51513,4,EM,1,100,RB
1733303863.832007,328524.750,51513,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303863.882257,328575.000,51513,4,EM,1,100,PS
1733303863.932757,328625.500,51544,4,EM,1,100,RS
1733303863.983257,328676.000,51544,4,EM,1,100,RB
1733303864.033757,328726.500,51544,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303864.084257,328777.000,51544,4,EM,1,100,PS
1733303864.134258,328827.000,51578,4,EM,1,100,RS
