LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1733303878.324299,343017.000,53879,1,TH,1,100,30.464
1733303878.457299,343150.000,53897,1,TH,1,100,30.464
1733303878.590300,343283.000,53928,1,TH,1,100,30.408
1733303878.724300,343417.000,53944,1,TH,1,100,30.415
1733303878.857301,343550.000,53964,1,TH,1,100,30.371
1733303878.991301,343684.000,53995,1,TH,1,100,30.371
1733303879.124301,343817.000,54012,1,TH,1,100,30.412
1733303879.257302,343950.000,54029,1,TH,1,100,30.412
1733303879.390302,344083.000,54045,1,TH,1,100,30.381
1733303879.524303,344217.000,54077,1,TH,1,100,30.381
1733303879.657303,344350.000,54094,1,TH,1,100,30.427
1733303879.791303,344484.000,54111,1,TH,1,100,30.427
1733303879.924304,344617.000,54144,1,TH,1,100,30.378
1733303880.057304,344750.000,54167,1,TH,1,100,30.385
1733303880.190305,344883.000,54183,1,TH,1,100,30.454
1733303880.324305,345017.000,54200,1,TH,1,100,30.454
1733303880.457305,345150.000,54232,1,TH,1,100,30.421
1733303880.590306,345283.000,54248,1,TH,1,100,30.421
1733303880.724306,345417.000,54267,1,TH,1,100,30.403
1733303880.857306,345550.000,54299,1,TH,1,100,30.403
1733303880.990307,345683.000,54315,1,TH,1,100,30.467
1733303881.124307,345817.000,54333,1,TH,1,100,30.467
1733303881.257308,345950.000,54349,1,TH,1,100,30.415
1733303881.390308,346083.000,54383,1,TH,1,100,30.415
1733303881.523309,346216.000,54402,1,TH,1,100,30.449
1733303881.657309,346350.000,54418,1,TH,1,100,30.456
1733303881.790309,346483.000,54450,1,TH,1,100,30.344
1733303881.924310,346617.000,54467,1,TH,1,100,30.344
1733303882.057310,346750.000,54483,1,TH,1,100,30.433
1733303882.190310,346883.000,54515,1,TH,1,100,30.433
1733303882.323311,347016.000,54534,1,TH,1,100,30.377
1733303882.457311,347150.000,54551,1,TH,1,100,30.376
1733303882.590312,347283.000,54582,1,TH,1,100,30.433
1733303882.724312,347417.000,54599,1,TH,1,100,30.440
1733303882.857312,347550.000,54616,1,TH,1,100,30.473
1733303882.990313,347683.000,54647,1,TH,1,100,30.473
1733303883.123313,347816.000,54667,1,TH,1,100,30.478
1733303883.257314,347950.000,54683,1,TH,1,100,30.478
1733303883.390314,348083.000,54700,1,TH,1,100,30.386
1733303883.523314,348216.000,54732,1,TH,1,100,30.386
1733303883.657315,348350.000,54748,1,TH,1,100,30.478
1733303883.790315,348483.000,54766,1,TH,1,100,30.478
1733303883.923316,348616.000,54797,1,TH,1,100,30.448
1733303884.057316,348750.000,54813,1,TH,1,100,30.448
1733303884.190316,348883.000,54833,1,TH,1,100,30.460
1733303884.323317,349016.000,54864,1,TH,1,100,30.460
1733303884.457317,349150.000,54881,1,TH,1,100,30.480
1733303884.590317,349283.000,54898,1,TH,1,100,30.488
1733303884.723318,349416.000,54930,1,TH,1,100,30.467
1733303884.856318,349549.000,54948,1,TH,1,100,30.467
1733303884.990319,349683.000,54965,1,TH,1,100,30.390
1733303885.123319,349816.000,54982,1,TH,1,100,30.390
1733303885.257319,349950.000,55004,1,TH,1,100,30.426
1733303885.390320,350083.000,55036,1,TH,1,100,30.426
1733303885.523320,350216.000,55052,1,TH,1,100,30.493
1733303885.656321,350349.000,55069,1,TH,1,100,30.500
1733303885.790321,350483.000,55103,1,TH,1,100,30.417
1733303885.923321,350616.000,55119,1,TH,1,100,30.417
1733303886.056322,350749.000,55136,1,TH,1,100,30.446
1733303886.190322,350883.000,55168,1,TH,1,100,30.446
1733303886.323323,351016.000,55184,1,TH,1,100,30.472
1733303886.456323,351149.000,55202,1,TH,1,100,30.472
1733303886.590323,351283.000,55220,1,TH,1,100,30.515
1733303886.723324,351416.000,55254,1,TH,1,100,30.515
1733303886.856324,351549.000,55271,1,TH,1,100,30.479
1733303886.990324,351683.000,55287,1,TH,1,100,30.479
1733303887.123325,351816.000,55319,1,TH,1,100,30.420
1733303887.256325,351949.000,55336,1,TH,1,100,30.427
